                  沪深300 (000300)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	  VOL.VOLUME	  VOL.MAVOL1	  VOL.MAVOL2	 ZQER.ER1   	 ZQER.ER2   	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2005/01/04	  994.76	  994.76	  980.65	  982.79	        7412869	           	           	           	           	 7412869.00	           	           	           	           	       0.00	       0.00	       0.00	
 2005/01/05	  981.57	  997.32	  979.87	  992.56	        7119109	           	           	           	           	 7119109.00	           	           	       1.00	       1.00	       0.78	       0.16	       1.25	
 2005/01/06	  993.33	  993.78	  980.33	  983.17	        6288028	           	           	           	           	 6288028.00	           	           	       0.02	       0.02	       0.63	       0.25	       0.76	
 2005/01/07	  983.04	  995.71	  979.81	  983.95	        7298694	           	           	           	           	 7298694.00	           	           	       0.06	       0.06	       0.57	       0.32	       0.51	
 2005/01/10	  983.76	  993.95	  979.78	  993.87	        5791697	     987.27	           	           	           	 5791697.00	 6782079.00	           	       0.37	       0.37	       1.31	       0.51	       1.59	
 2005/01/11	  994.18	  999.55	  991.09	  997.13	        5849079	     990.14	           	           	           	 5849079.00	 6469321.50	           	       0.43	       0.43	       2.13	       0.84	       2.59	
 2005/01/12	  996.65	  996.97	  989.25	  996.74	        5014525	     990.97	           	           	           	 5014525.00	 6048404.50	           	       0.42	       0.42	       2.72	       1.21	       3.01	
 2005/01/13	  996.07	  999.47	  992.69	  996.87	        6044065	     993.71	           	           	           	 6044065.00	 5999611.50	           	       0.42	       0.42	       3.16	       1.60	       3.12	
 2005/01/14	  996.61	 1006.46	  987.23	  988.30	        7297842	     994.58	           	           	           	 7297842.00	 5999441.50	           	       0.13	       0.13	       2.79	       1.84	       1.90	
 2005/01/17	  979.11	  981.52	  965.07	  967.45	        7288188	     989.30	     988.28	           	           	 7288188.00	 6298740.00	 6540409.50	       0.24	       0.24	       0.80	       1.63	      -1.66	
 2005/01/18	  967.37	  974.87	  960.29	  974.68	        7311847	     984.81	     987.47	           	           	 7311847.00	 6591293.50	 6530307.50	       0.12	       0.12	      -0.19	       1.27	      -2.92	
 2005/01/19	  974.33	  974.33	  965.25	  967.21	        6338090	     978.90	     984.94	           	           	 6338090.00	 6856006.50	 6452205.50	       0.20	       0.20	      -1.56	       0.70	      -4.52	
 2005/01/20	  963.21	  963.21	  952.23	  956.24	        7727106	     970.78	     982.24	           	           	 7727106.00	 7192614.50	 6596113.00	       0.30	       0.30	      -3.49	      -0.14	      -6.71	
 2005/01/21	  954.46	  984.27	  943.43	  982.60	       14450059	     969.64	     982.11	           	           	14450059.00	 8623058.00	 7311250.00	       0.00	       0.00	      -2.86	      -0.68	      -4.36	
 2005/01/24	 1001.85	 1001.85	  986.23	  998.13	       14359461	     975.77	     982.53	           	           	14359461.00	10037312.00	 8168026.00	       0.12	       0.12	      -1.09	      -0.76	      -0.66	
 2005/01/25	  995.63	  997.95	  985.23	  997.77	        9862529	     980.39	     982.60	           	           	 9862529.00	10547448.00	 8569371.00	       0.11	       0.11	       0.27	      -0.56	       1.66	
