                  恒生指数 (HSI)
      时间	    开盘	    最高	    最低	    收盘	         成交量	ZQTQA.HIGHTREND	ZQTQA.LOWTREND	  AMO.AMOW  	  AMO.AMO1  	  AMO.AMO2  	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	 ZQER.ER1   	 ZQER.ER2   	ZQMAD.MAD1  	
 1994/07/12	 8591.45	 8608.12	 8398.43	 8591.45	              0	    8591.45	    8591.45	       0.00	           	           	       0.00	       0.00	       0.00	           	           	           	
 1994/07/13	 8828.91	 8828.91	 8606.51	 8828.91	              0	    8828.91	    8591.45	       0.00	           	           	      18.94	       3.79	      30.31	       1.00	       1.00	           	
 1994/07/14	 8808.28	 8944.31	 8790.79	 8808.28	              0	    8828.91	    8591.45	       0.00	           	           	      31.92	       9.42	      45.01	       0.84	       0.84	           	
 1994/07/15	 9117.02	 9140.84	 8863.83	 9117.02	              0	    9117.02	    8591.45	       0.00	           	           	      66.36	      20.80	      91.10	       0.93	       0.93	           	
 1994/07/18	 9193.83	 9228.50	 9131.54	 9193.83	              0	    9193.83	    8591.45	       0.00	       0.00	           	      98.71	      36.38	     124.64	       0.94	       0.94	       0.03	
 1994/07/19	 9145.01	 9197.04	 9091.61	 9145.01	              0	    9193.83	    8591.45	       0.00	       0.00	           	     119.03	      52.91	     132.24	       0.80	       0.80	       0.01	
 1994/07/20	 9188.82	 9322.72	 9149.79	 9188.82	              0	    9193.83	    8591.45	       0.00	       0.00	           	     137.09	      69.75	     134.69	       0.81	       0.81	       0.01	
 1994/07/21	 9117.66	 9149.02	 9028.55	 9117.66	              0	    9193.83	    8591.45	       0.00	       0.00	           	     144.01	      84.60	     118.81	       0.65	       0.65	      -0.00	
 1994/07/22	 9152.99	 9202.31	 9077.92	 9152.99	              0	    9193.83	    8591.45	       0.00	       0.00	           	     150.60	      97.80	     105.60	       0.67	       0.67	      -0.00	
 1994/07/25	 9174.62	 9236.42	 9165.28	 9174.62	              0	    9193.83	    8591.45	       0.00	       0.00	       0.00	     155.78	     109.40	      92.76	       0.67	       0.67	       0.00	
 1994/07/26	 9194.36	 9257.46	 9117.02	 9194.36	              0	    9194.36	    8591.45	       0.00	       0.00	       0.00	     159.63	     119.44	      80.38	       0.68	       0.68	       0.00	
 1994/07/27	 9402.18	 9412.99	 9203.01	 9402.18	              0	    9402.18	    8591.45	       0.00	       0.00	       0.00	     177.41	     131.04	      92.75	       0.74	       0.74	       0.02	
 1994/07/28	 9402.66	 9541.65	 9398.89	 9402.66	              0	    9402.66	    8591.45	       0.00	       0.00	       0.00	     189.35	     142.70	      93.31	       0.74	       0.74	       0.01	
 1994/07/29	 9482.81	 9525.18	 9438.41	 9482.81	              0	    9482.81	    8591.45	       0.00	       0.00	       0.00	     202.95	     154.75	      96.40	       0.76	       0.76	       0.02	
 1994/08/01	 9683.68	 9743.34	 9510.45	 9683.68	              0	    9683.68	    8591.45	       0.00	       0.00	       0.00	     227.31	     169.26	     116.10	       0.80	       0.80	       0.03	
 1994/08/02	 9695.03	 9749.70	 9628.64	 9695.03	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     244.71	     184.35	     120.72	       0.80	       0.80	       0.02	
 1994/08/03	 9585.89	 9795.88	 9583.40	 9585.89	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     246.85	     196.85	     100.00	       0.67	       0.67	       0.00	
 1994/08/04	 9642.85	 9686.07	 9508.73	 9642.85	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     250.26	     207.53	      85.45	       0.68	       0.68	       0.00	
 1994/08/05	 9602.21	 9630.79	 9562.41	 9602.21	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     246.84	     215.39	      62.88	       0.64	       0.64	      -0.00	
 1994/08/08	 9537.87	 9631.77	 9534.65	 9537.87	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     236.21	     219.56	      33.30	       0.57	       0.57	      -0.01	
 1994/08/09	 9446.43	 9561.45	 9406.06	 9446.43	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     217.89	     219.22	      -2.66	       0.49	       0.49	      -0.01	
 1994/08/10	 9618.08	 9619.60	 9475.16	 9618.08	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     214.75	     218.33	      -7.15	       0.47	       0.53	       0.01	
 1994/08/11	 9524.54	 9607.03	 9509.14	 9524.54	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     202.39	     215.14	     -25.51	       0.41	       0.46	      -0.00	
 1994/08/12	 9464.56	 9486.25	 9423.89	 9464.56	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     185.61	     209.23	     -47.26	       0.23	       0.42	      -0.01	
 1994/08/15	 9486.13	 9544.47	 9458.03	 9486.13	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     172.06	     201.80	     -59.48	       0.20	       0.43	      -0.00	
 1994/08/16	 9366.62	 9444.30	 9340.02	 9366.62	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     149.96	     191.43	     -82.95	       0.15	       0.35	      -0.01	
 1994/08/17	 9537.98	 9585.06	 9361.44	 9537.98	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     144.60	     182.07	     -74.93	       0.21	       0.40	       0.01	
 1994/08/18	 9518.89	 9582.76	 9509.46	 9518.89	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     137.23	     173.10	     -71.73	       0.25	       0.39	       0.00	
 1994/08/19	 9404.44	 9508.43	 9353.01	 9404.44	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     120.77	     162.63	     -83.73	       0.15	       0.32	      -0.01	
 1994/08/22	 9457.33	 9461.68	 9372.89	 9457.33	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	     110.71	     152.25	     -83.08	       0.17	       0.34	       0.00	
 1994/08/23	 9234.06	 9449.91	 9234.06	 9234.06	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	      83.75	     138.55	    -109.59	       0.02	       0.23	      -0.02	
 1994/08/24	 9238.69	 9248.24	 9130.07	 9238.69	              0	    9695.03	    8591.45	       0.00	       0.00	       0.00	      62.05	     123.25	    -122.39	       0.10	       0.23	      -0.01	
